0 -475.36537169377357 0.0 758.1832491960248, 1 -497.9994698012624 -126.74895077349716 760.5935662378836, 2 -530.2377751750784 -76.4584225121067 389.9487382298388, 3 -638.5209188277539 -33.63883488239284 30.781466250660515, 6 -450.2639676471179 126.7481081013575 755.9778624043877, 7 -450.77308254935724 131.57070932715186 367.5384531090625, 8 -444.7038126878521 135.74710844805497 -0.9553820550200953, 12 -517.8554107393611 -1.4622404983991402 1067.555800122842, 13 -494.29531091173135 -22.00093556052437 1308.2157888667166, 14 -396.40270722457564 -41.57138934818411 1375.5624332153125, 15 -396.00864838862685 -60.26239786035753 1504.7262371012484, 17 -495.72514334148866 114.7332105095377 1282.660871777691, 18 -298.7802128649733 249.80883312546126 1032.8122020687806, 19 -296.5171187759034 217.51973627503264 833.9450785413882, 25 -513.8207217480619 -147.73560047645884 1223.1391841757295, 26 -411.14984761721433 -234.73427247080718 966.5203431485397, 27 -218.02625731734557 -200.16984308400865 893.0635452502506, 
0 -475.3637187951777 0.0 758.2229396015391, 1 -497.99956529442477 -126.7482080638886 760.6347717225274, 2 -530.2375137594662 -76.46035688017903 389.98704349264335, 3 -638.5207353245675 -33.6399747666016 30.819763057689556, 6 -450.260476064066 126.74736539599556 756.0159317790066, 7 -450.7728792387823 131.56884587955835 367.5767456751463, 8 -444.70379951142684 135.74698590725097 -0.9173168739324637, 12 -517.8527770346242 -1.4606813469622324 1067.5935522738816, 13 -494.292204698212 -21.998152752311086 1308.2539244422337, 14 -396.4011816422486 -41.570873694076276 1375.6002568723052, 15 -396.00800962506844 -60.26122908413545 1504.7643707376988, 17 -495.7185691551454 114.73509515199216 1282.695668796012, 18 -298.7802485930872 249.80934131726113 1032.85025150565, 19 -296.5170124402704 217.51822380710925 833.9831515876825, 25 -513.8243026585125 -147.7326225009187 1223.180629641, 26 -411.14978074159774 -234.73488491045327 966.5614870115099, 27 -218.02602332418488 -200.17392119037726 893.1016256684416, 
0 -475.3620658965818 0.0 758.3088171515687, 1 -497.99960352585293 -126.74791071433715 760.7206360335729, 2 -530.2377530504857 -76.45858622499728 390.07267594798077, 3 -638.5216493230049 -33.634297195514364 30.904349077579468, 6 -450.25703401635747 126.74707668635502 756.1018217168725, 7 -450.76924419726396 131.5668247809354 367.6628998628071, 8 -444.7101768970094 135.7427211324353 -0.8338941643439739, 12 -517.8523305702836 -1.460475962039851 1067.6831796519423, 13 -494.2923116295068 -21.998615098927303 1308.3433747660056, 14 -396.4014125129985 -41.57177335851199 1375.6900518082828, 15 -396.00833412757294 -60.26203187440721 1504.8544026066907, 17 -495.7185066463346 114.73457629469317 1282.7815022610203, 18 -298.7802656107416 249.80958337404678 1032.9361347380334, 19 -296.51710575368946 217.51955105319973 834.0689979506059, 25 -513.8242905934203 -147.73271295588654 1223.2665003792972, 26 -411.14980063065036 -234.7347027686654 966.6473661809515, 27 -218.0259446260746 -200.17529276578543 893.187517650671, 
0 -475.3620658965818 0.0 758.3946947015983, 1 -497.99957703166183 -126.74811677610973 760.8065227581532, 2 -530.2377741156847 -76.45843035118378 390.1585319219039, 3 -638.5216527850348 -33.63427569009397 30.990221735570117, 6 -450.25705468126125 126.74726608668615 756.1876911401894, 7 -450.7693007609055 131.5673432201769 367.7487064515278, 8 -444.71014534016626 135.74242765819 -0.7479503369157783, 12 -517.8525208233283 -1.4606943009094024 1067.7690327989746, 13 -494.29228709630235 -21.998812539022467 1308.4292336950898, 14 -396.4009060963597 -41.5714088161225 1375.7759349176417, 15 -396.00746190997324 -60.26178498733628 1504.9402075898852, 17 -495.71851034796583 114.73460702025542 1282.8673824216655, 18 -298.780292989873 249.80997281106156 1033.0220214302108, 19 -296.51720220939006 217.52092299362187 834.1548432633192, 25 -513.8210553463965 -147.733099392065 1223.35234882866, 26 -411.1497650452591 -234.7350286558207 966.7332408335374, 27 -218.0259667293613 -200.1749075427553 893.273391147248, 
0 -465.78682433041376 0.0 758.3984390692558, 1 -485.6559557741245 -126.80225888213528 760.8126777112038, 2 -530.0528018211961 -76.91548473961484 390.0601881607971, 3 -638.4446256897469 -33.725878117036274 30.962356971691975, 6 -443.64982273632506 126.80139800977592 756.1891128372332, 7 -450.9218521578106 133.27865862374748 367.4874712217601, 8 -444.87507699856843 136.83113744934968 -0.9900771271064741, 12 -511.7541154597103 -1.1891326704708405 1074.2052586996474, 13 -488.3885042535853 -20.5499608246525 1315.3600356100433, 14 -392.6009836498842 -40.86573726863524 1384.1589634969037, 15 -394.1202459289865 -59.4234729906291 1513.4442980990243, 17 -489.18093869452326 116.0661389515313 1282.984261198017, 18 -298.97992226636626 252.6494723028675 1033.0924238784482, 19 -296.73078782658837 220.55886414061865 834.087203285518, 25 -507.9187522313553 -147.03057741278803 1229.6310874685612, 26 -410.0804112260702 -241.54122294124014 966.6764717256426, 27 -211.10216427271283 -214.35387994186235 899.505288075569, 
0 -462.35044814949504 0.0 758.4021834369134, 1 -479.2355295567979 -126.30432600101054 760.7942524623071, 2 -529.9779318563693 -75.06881600341283 389.8082381790092, 3 -638.807288929276 -30.77998576969361 30.295932730083905, 6 -443.41214710050053 126.30350378853048 756.2142206483154, 7 -444.6801277724566 132.50941149784234 361.1723147458672, 8 -444.7483619165954 135.65283161970552 -0.7202274842082943, 12 -509.714199400894 -1.3803855372099179 1074.0406442920396, 13 -488.5355252922488 -21.194056216386272 1315.3019350698116, 14 -394.21543422089997 -41.587813876877775 1385.1110226221201, 15 -397.79769124428105 -60.75393559701706 1514.3164203681015, 17 -482.51876698171543 114.80507087195198 1282.880858160378, 18 -298.9086559282069 251.6357896680301 1033.072371749945, 19 -296.7748033454928 221.18492013511923 834.0762368358077, 25 -501.6947926182945 -146.60469341445327 1229.7249143277904, 26 -404.2536393008984 -237.8950929155639 966.712633622233, 27 -211.14404774699284 -208.48930555663986 905.2693670624685, 
0 -452.7834710763068 0.0 758.4750565603989, 1 -473.0776073060645 -126.10774480780759 760.8615600693738, 2 -523.1636646688174 -81.2581351220905 390.6868599759814, 3 -637.4429168055808 -39.13545522745892 32.19545900814637, 6 -430.23857990726316 126.10689843873287 756.2920300320761, 7 -444.5139800721939 132.26659608038932 361.2275626190169, 8 -444.8876468826222 136.94802304361292 -0.9876776285803999, 12 -510.53016780643605 0.11167145922169652 1073.9869330145511, 13 -489.53699317258025 -18.170192813754042 1315.6088136783578, 14 -398.00456613104586 -40.94207025416833 1385.1599709386753, 15 -403.2065054352838 -59.021033272992476 1514.4444743795952, 17 -469.3649977325294 116.86364830746572 1283.0773996931605, 18 -299.03792555056646 253.47450307441773 1033.1371693516437, 19 -296.8321612271711 222.00075160889003 834.078700015928, 25 -496.00724129781963 -143.4336337849059 1229.9905130407533, 26 -398.75523583028456 -236.58741399062544 966.9138479493703, 27 -204.87471761899727 -211.95098925410147 905.4261317298292, 
0 -452.7024790451067 0.0 758.533053596521, 1 -472.9357294979997 -126.22090063122305 760.9010357456714, 2 -522.5825416508474 -82.55540428345734 390.88811635988964, 3 -637.2494838227528 -40.29671690760949 32.481277392644074, 6 -430.2196868831041 126.22004433526392 756.3701917998137, 7 -444.32193633437475 132.38622560887438 361.2326347486652, 8 -444.8951972514984 137.01823286808042 -0.9716431854333223, 12 -505.8997528165039 1.4063820440420116 1074.1866485825576, 13 -483.1964030687595 -16.344964040953144 1315.80207834944, 14 -391.09298248468116 -40.35594049565567 1384.2266432385109, 15 -395.6490066270856 -58.11384575148177 1513.6904431832832, 17 -463.0884005074235 119.29189861912576 1283.2713068444789, 18 -299.2143140468228 255.98342889070352 1033.2177003855734, 19 -297.04157898630564 224.97941110727686 834.0303419143293, 25 -495.84021199013756 -143.24535350136955 1230.0266316497969, 26 -397.67453755844224 -245.6448706252712 972.7994821327359, 27 -197.93269696793374 -228.62041702512266 905.7262042090598, 
0 -446.373530321327 0.0 758.6353995828838, 1 -466.70323982024865 -127.25037928090121 761.0211003787349, 2 -515.628923568649 -88.4201556123938 391.84876375166266, 3 -635.3792132607659 -51.89781903723471 35.19475570886675, 6 -423.77456307401735 127.24949052451706 756.4582810369114, 7 -444.47781916412606 133.86777765860722 367.44267805161087, 8 -445.03073252031606 138.50118810973325 -1.2220372304399234, 12 -508.5911864176479 2.1372230219751387 1074.1071364401234, 13 -484.0568047844692 -12.5104075671332 1316.238077894197, 14 -393.3052098958798 -36.26083443999171 1384.579576281408, 15 -398.3648383512767 -52.53128120984704 1514.0735376593316, 17 -456.92335662168585 123.01162029535851 1277.388437226254, 18 -299.4145471643283 258.8315173343784 1033.3588068045412, 19 -297.01167635824055 224.55409022006614 834.1145826473795, 25 -489.85979836044135 -141.167866233491 1236.316866001423, 26 -384.99954688954944 -250.57144235775635 972.9737429223798, 27 -173.46278200747747 -232.7386290372403 911.9111372889334, 
0 -439.9073910140857 0.0 758.7278281776709, 1 -466.65537715510885 -126.98352380206994 761.1186798022361, 2 -502.51702244841226 -93.06969337405496 398.7887600449043, 3 -634.204383043589 -59.157471929232514 36.99872723891269, 6 -410.4896113146157 126.98265509277589 756.5439662079154, 7 -444.05849477103607 131.58745711197616 367.9144711268277, 8 -444.57883997314866 134.99802147739697 -0.35666548498522843, 12 -508.32279292844873 2.1268480298407724 1067.042658774322, 13 -484.9739067498754 -9.820919668877124 1309.8724701295175, 14 -394.4030420531484 -33.74170604376339 1376.991530216367, 15 -398.9564241805223 -48.463644102077936 1506.0857207462673, 17 -456.9832487198559 124.16716313810188 1277.48411249503, 18 -299.3259970683825 257.5719928956057 1033.4034858104035, 19 -297.2220022724208 227.5456668877722 834.1185344664399, 25 -484.2660500789175 -137.78519384512694 1236.6566674415392, 26 -373.83783421408674 -241.7569947685369 985.1705936848406, 27 -168.03739498930278 -218.76616650944413 912.1651270574598, 
0 -436.5982880250526 0.0 758.8136053612561, 1 -466.44132948012174 -128.3351168573906 761.2793245522713, 2 -488.9319066532156 -99.69905871619642 399.96451702780234, 3 -632.410756908045 -70.26241028442676 39.57096975755985, 6 -403.8480937602678 128.33423112544773 756.5560186945816, 7 -437.5482445784402 131.9866013698561 368.0459529273877, 8 -444.53087509926047 134.5836849065102 -0.21698765862004166, 12 -509.5528772141708 1.4416825610382205 1066.7543036638194, 13 -485.42382415002686 -8.626923711360135 1310.0272559083883, 14 -394.39589116742394 -31.548036130347796 1376.0755966417103, 15 -398.05424019817553 -45.73063252809413 1504.95357812357, 17 -457.07472250384615 125.3311498412526 1277.6273171592327, 18 -299.3187949257571 257.46955060515717 1033.4471885649737, 19 -297.1339424959674 226.29314613383704 834.1940733234565, 25 -478.23020776731386 -136.8046693328685 1236.8404125320988, 26 -356.3858922358066 -234.10281025436583 985.3904969037873, 27 -150.46177904301405 -193.0851675306451 924.223637424275, 
0 -429.99826393154177 0.0 761.9903029192129, 1 -460.24565519894594 -127.29339480546305 761.3078988094525, 2 -488.79133902294615 -100.07476829281937 400.06201941875474, 3 -632.4722167090137 -69.65847936464672 39.5121783451292, 6 -396.862793884106 127.29249842025213 763.0765075509116, 7 -437.3664832732922 130.94718448472398 368.2411311539058, 8 -444.3360593498793 132.86700841200533 0.24070865503028926, 12 -509.15862052464087 3.569508088732647 1066.6132283648458, 13 -486.239638768347 -5.8151967146922345 1310.0260033805882, 14 -396.0248225902209 -32.02379505514105 1374.9769928041328, 15 -400.948825199965 -46.47162753037965 1503.7426599160867, 17 -450.76116282046206 127.52202890240306 1277.856182780898, 18 -299.4636808704468 259.530388441885 1033.5416749528742, 19 -297.428864853033 230.4879827312231 834.1416123212956, 25 -478.342410346792 -135.8724872805667 1236.9980372628902, 26 -354.12667107389194 -257.6162888394928 1003.0544797391466, 27 -136.68922295151737 -233.61291650291696 954.6117840991058, 
0 -423.72220796283153 0.0 762.0244640783003, 1 -454.18337200761687 -127.3510024569142 761.3647415329351, 2 -482.332481331509 -102.39103041947789 400.391543397561, 3 -626.2618864922963 -71.02206495082521 39.92594580877824, 6 -390.37029217135614 127.35011500904436 763.0868012639796, 7 -430.9772109612709 130.89870469378036 368.4106539812742, 8 -444.3776361777268 133.53969374745603 0.10488871190671034, 12 -502.6747303252525 3.0764143356058327 1066.5954720740133, 13 -479.90873796575914 -5.6373999248552735 1310.0823396446526, 14 -389.9132901397767 -31.830276363708858 1374.7698134178472, 15 -394.55011752273845 -45.964044694767544 1503.685036799295, 17 -450.35176236513416 127.14636533505448 1277.9023259496525, 18 -299.39582124739337 258.5651624562029 1033.531689468057, 19 -297.3165829532514 228.890937911989 834.1918125292649, 25 -478.4522320878728 -134.95952570815518 1237.0887941678548, 26 -330.6266242202424 -248.63558896006245 1003.2370502274443, 27 -119.18234587796437 -211.1788117094001 961.2723546731044, 
0 -423.6825383965294 0.0 765.1710332935062, 1 -454.1986482998541 -127.13887326398674 767.3629376171812, 2 -482.0832915374458 -103.1034328941874 400.5016691790944, 3 -626.148239640729 -70.77753881236899 39.918722856882255, 6 -390.27859891281565 127.13796974503721 763.1866870904039, 7 -424.04225869963483 130.72109986738283 368.4476256489371, 8 -444.4215358360126 133.94804233499246 0.025346954681140232, 12 -503.30008694566857 3.346629250531656 1066.479423661044, 13 -479.8723654340597 -5.852216460419427 1309.7618327433024, 14 -389.47440403326704 -32.65046294010243 1373.6830979653705, 15 -393.5369663100896 -47.009367289046125 1502.6386493775335, 17 -443.9258752472057 126.60926480535014 1277.8701873238392, 18 -299.3057763417228 257.28437604860517 1033.5142961100946, 19 -297.13513058077905 226.31004489220183 834.2651308150472, 25 -478.51328908572674 -134.46629409145947 1237.2232633164795, 26 -319.00150027193564 -243.1464308153768 1003.6404282071564, 27 -113.41282342548259 -196.32420350544902 967.6776227262326, 
0 -420.36517091451714 0.0 765.208234673975, 1 -447.834459074955 -127.70234220555429 767.424321217057, 2 -475.9270505419263 -105.22579975748441 400.82919737412794, 3 -625.4979392699275 -74.55295160705379 40.860015210778556, 6 -390.19883698415003 127.70139962057111 763.2006275793449, 7 -411.08425432310605 131.8967953895879 368.37861648629416, 8 -444.4690223326892 134.38975520024474 -0.03720138046878674, 12 -492.9571752985612 4.57684602716261 1066.7125125132861, 13 -466.5337410980187 -3.012299668165568 1310.0665114897615, 14 -375.56021819325923 -30.882457875876565 1371.6325997876856, 15 -377.7243904682772 -45.97723798080425 1500.1252995327118, 17 -437.4682006900715 129.65142872200352 1278.1612066689263, 18 -299.55924088764056 260.8896210405555 1033.6361316705934, 19 -297.3648498958352 229.5774641530277 834.2255556636519, 25 -478.6677626898478 -133.21842295178033 1243.4974265671308, 26 -318.03559634132364 -254.23013803264485 1009.5632288149161, 27 -112.88155667153883 -206.67689726076702 997.9937758346164, 
0 -410.7684416666023 0.0 765.2669237361908, 1 -435.4264613059976 -127.50843534467128 767.4596015936127, 2 -476.08973284653695 -102.78744514935376 400.5199633535997, 3 -626.6146382502834 -67.15730601088694 45.205545006186526, 6 -383.6242254895148 127.50747659356263 763.2833578972028, 7 -410.9026961523471 131.65067547580873 368.4494863802561, 8 -444.13634020147316 131.295191741538 0.6988291472880519, 12 -490.5163875501165 5.087397872342208 1066.4336033223756, 13 -467.74116748575295 -0.39046969805090725 1310.3448651636577, 14 -373.94608628348226 -29.401293807561963 1371.3306826779512, 15 -374.5508966912954 -44.43949945370977 1499.6226368375092, 17 -437.58866126487334 132.0135416890615 1278.3306039825443, 18 -299.74116329457024 263.4772604444497 1033.7340786424577, 19 -297.9627566774099 238.08180839512042 834.0629253100931, 25 -478.7881495160457 -132.19426739948346 1243.6358838530227, 26 -316.86165829399044 -267.43894042546253 1027.31990444402, 27 -112.10578792869752 -231.90899168969244 1009.8350450642, 
